serial_number,test_date,test_type,CPU ON-DIE thermal sensor_reading,PHY B50182 temp sensor_reading
FGR60FTK20000101,2020-05-27 00:30:04,HTS,45.65,53.74
FGR60FTK20000101,2020-06-02 21:46:24,ITS,76.01,81.95
FGR60FTK20000102,2020-05-26 16:42:42,HTS,42.42,50.8
FGR60FTK20000102,2020-05-28 01:44:12,ITS,65.56,72.8725
FGR60FTK20000103,2020-05-27 07:12:12,HTS,43.59,52.27
FGR60FTK20000103,2020-05-28 11:57:32,ITS,68.6175,76.6775
FGR60FTK20000104,2020-05-27 01:48:17,HTS,42.68,51.29
FGR60FTK20000104,2020-05-28 11:52:50,ITS,70.2475,76.185
FGR60FTK20000105,2020-05-26 16:42:38,HTS,43.58,52.27
FGR60FTK20000105,2020-05-28 01:41:36,ITS,62.6375,70.5425
FGR60FTK20000106,2020-05-26 17:33:17,HTS,41.92,51.78
FGR60FTK20000106,2020-05-27 13:29:18,ITS,64.8325,73.9775
FGR60FTK20000107,2020-05-26 17:33:16,HTS,42.28,51.29
FGR60FTK20000107,2020-05-27 13:27:23,ITS,62.0025,70.4175
FGR60FTK20000108,2020-05-26 16:42:40,HTS,45.94,55.7
FGR60FTK20000108,2020-06-02 21:46:24,ITS,74.755,82.195
FGR60FTK20000109,2020-05-26 20:19:45,HTS,42.37,49.32
FGR60FTK20000109,2020-05-27 13:28:52,ITS,67.445,73.3625
FGR60FTK20000110,2020-05-27 07:12:18,HTS,42.82,51.78
FGR60FTK20000110,2020-05-28 01:36:58,ITS,66.6825,74.22
FGR60FTK20000111,2020-05-26 16:42:39,HTS,43.98,52.76
FGR60FTK20000111,2020-05-28 01:30:27,ITS,67.665,75.45
FGR60FTK20000112,2020-05-26 16:42:36,HTS,45.28,54.72
FGR60FTK20000112,2020-05-28 01:44:12,ITS,67.575,74.595
FGR60FTK20000113,2020-05-27 02:37:10,HTS,45.54,52.27
FGR60FTK20000113,2020-05-28 11:57:32,ITS,70.17,76.6775
FGR60FTK20000115,2020-05-26 21:54:38,HTS,38.72,48.83
FGR60FTK20000115,2020-05-27 13:28:41,ITS,62.2425,71.035
FGR60FTK20000117,2020-05-27 02:37:12,HTS,45.25,53.74
FGR60FTK20000117,2020-05-28 11:46:22,ITS,69.9625,76.9225
